hour,day_of_year,irradiance_W_m2,ambient_temp_C,panel_temp_C,humidity_percent,wind_speed_m_s,voltage_V,current_A,power_W,condition
12.38,154,1000.0,14.47,43.04,47.54,1.89,365.91,8.951,3257.01,normal
16.99,328,573.25,20.83,38.85,29.23,3.35,364.91,5.23,1907.06,normal
8.8,149,642.14,27.84,49.69,55.54,0.91,354.93,4.925,1775.32,suciedad
13.2,267,982.73,20.78,53.88,68.47,1.18,353.16,8.288,2933.37,normal
14.29,328,878.46,23.57,50.86,64.11,8.07,355.5,1.308,477.96,falla_panel
6.65,106,161.03,27.8,32.9,76.26,3.4,20.01,0.163,4.97,falla_inversor
14.51,35,862.17,28.12,55.85,51.64,5.26,351.73,6.871,2393.18,suciedad
8.39,119,550.74,18.52,35.34,56.34,0.95,1.55,8.993,13.89,falla_inversor
6.91,14,208.37,30.98,38.27,76.73,2.35,367.67,1.014,385.8,sombreado_parcial
19.28,14,159.51,31.76,36.62,49.94,10.66,366.71,0.646,247.56,sombreado_parcial
19.52,266,125.76,18.22,23.67,69.11,1.15,380.43,0.824,322.21,suciedad
17.32,140,618.31,20.06,40.46,50.42,0.52,367.83,5.269,1956.31,normal
10.26,294,756.54,32.15,57.0,49.24,2.15,350.54,6.522,2236.35,normal
7.37,364,256.12,24.12,31.81,73.21,1.47,374.08,1.164,448.86,sombreado_parcial
15.58,119,895.6,11.68,42.56,32.24,0.52,361.58,5.536,2007.33,sombreado_parcial
12.16,238,1000.0,16.6,48.58,43.7,6.58,355.99,7.632,2729.34,suciedad
7.71,34,403.17,23.5,36.47,35.69,14.04,366.95,2.163,826.68,sombreado_parcial
12.93,169,1000.0,18.02,48.13,45.14,2.52,354.36,7.12,2544.92,suciedad
6.48,10,74.35,22.52,24.7,36.13,4.47,379.75,0.546,187.34,sombreado_parcial
18.73,122,284.29,25.19,34.25,60.56,5.88,370.43,2.546,949.34,normal
9.62,145,837.25,33.77,58.76,75.87,3.62,348.3,7.469,2594.28,normal
15.28,223,923.03,23.26,51.66,75.06,0.14,356.74,5.856,2080.8,suciedad
10.36,257,838.89,31.44,57.4,45.52,0.51,347.97,7.275,2523.36,normal
13.28,268,969.37,33.57,63.95,89.21,0.22,26.15,1.062,28.66,falla_inversor
13.65,359,922.03,33.61,59.78,61.57,0.03,347.99,6.309,2166.26,suciedad
8.59,4,505.66,26.71,42.31,47.96,1.1,366.4,2.313,830.55,sombreado_parcial
19.57,354,70.37,13.22,14.85,78.49,1.49,20.02,0.478,9.09,falla_inversor
16.85,106,657.35,27.76,48.28,71.09,0.83,360.23,3.353,1203.51,sombreado_parcial
19.15,85,196.7,31.29,38.99,72.45,0.2,365.36,1.653,629.01,normal
18.53,214,349.36,24.51,38.51,33.73,2.26,365.57,2.041,731.06,sombreado_parcial
14.37,121,1000.0,35.47,67.74,52.78,0.96,339.28,8.566,2908.51,normal
18.91,132,272.88,30.16,36.83,80.33,4.77,367.06,2.344,875.38,normal
7.24,338,242.71,28.41,35.48,55.28,0.02,370.91,2.068,785.89,normal
8.74,197,618.82,31.52,51.75,67.84,5.55,356.27,4.404,1551.57,suciedad
6.63,19,126.13,27.0,31.67,61.16,9.29,374.65,0.373,165.98,sombreado_parcial
10.55,130,906.87,10.04,39.86,78.96,3.78,365.77,7.932,2908.47,normal
11.44,12,850.34,22.01,48.43,39.92,3.97,360.1,7.598,2733.1,normal
9.8,81,754.53,32.18,55.22,60.28,8.13,352.15,4.395,1550.48,sombreado_parcial
17.6,330,447.47,20.15,36.77,28.63,0.7,368.53,3.92,1437.0,normal
10.99,354,823.01,23.66,49.47,68.31,15.0,356.5,7.171,2535.59,normal
9.93,262,765.64,18.73,41.13,71.24,4.45,362.91,5.552,2003.61,suciedad
13.6,125,1000.0,35.7,69.17,23.0,3.89,336.11,8.462,2843.17,normal
7.97,307,391.67,35.09,45.08,67.31,1.34,360.01,3.508,1271.11,normal
17.23,267,582.53,19.7,32.66,49.03,2.37,370.62,5.078,1908.69,normal
7.04,140,253.66,25.88,34.96,28.69,3.18,368.23,1.144,422.41,sombreado_parcial
19.82,329,45.88,20.92,23.72,49.39,2.91,379.39,0.297,119.69,suciedad
16.81,2,610.07,28.69,48.38,33.6,3.66,24.44,2.407,58.18,falla_inversor
8.78,8,555.34,28.06,43.46,49.09,0.26,360.85,4.524,1634.9,suciedad
6.08,250,23.43,29.87,30.51,46.9,1.32,376.41,0.234,68.42,normal
17.42,139,572.98,26.99,44.48,71.69,1.71,360.21,5.296,1915.45,normal
15.9,124,845.49,42.61,68.23,74.2,0.91,339.31,7.329,2496.28,normal
16.21,309,678.1,18.83,42.14,62.49,0.57,362.09,2.506,899.75,sombreado_parcial
16.8,228,729.09,14.74,35.95,21.59,0.45,369.99,4.11,1518.48,sombreado_parcial
7.04,10,248.75,22.64,30.89,85.17,1.37,378.96,1.123,418.56,sombreado_parcial
11.02,212,984.73,15.59,48.16,68.04,2.04,356.61,8.996,3210.35,normal
7.62,112,391.83,16.05,28.86,22.39,0.2,375.74,3.648,1370.4,normal
18.08,8,382.53,18.99,32.81,77.32,8.78,370.21,3.491,1298.01,normal
14.73,292,888.21,19.47,48.07,34.02,4.35,360.28,6.311,2271.42,suciedad
10.63,362,744.88,19.27,43.19,60.55,3.94,365.23,6.612,2392.4,normal
6.89,253,200.1,28.11,34.91,52.66,0.57,368.72,0.845,320.94,sombreado_parcial
10.35,14,736.01,21.96,45.88,49.39,2.78,359.85,6.595,2384.22,normal
10.55,240,890.78,23.92,51.18,82.28,2.26,355.97,5.313,1885.61,sombreado_parcial
16.21,242,775.69,30.37,52.65,50.62,12.13,353.86,6.632,2350.02,normal
14.93,342,858.05,20.4,48.65,25.27,4.13,355.68,7.524,2651.03,normal
18.42,149,397.48,23.41,37.58,86.26,2.57,366.12,3.572,1294.88,normal
12.61,236,1000.0,27.19,58.82,84.44,5.71,345.41,8.992,3091.01,normal
7.67,306,336.62,13.35,23.05,67.91,0.51,383.9,3.17,1198.69,normal
15.99,167,895.56,10.69,36.34,52.75,0.05,370.55,6.534,2433.37,suciedad
16.65,20,623.52,27.08,46.69,26.5,3.52,362.73,5.445,1973.11,normal
13.86,216,1000.0,27.95,57.18,75.35,0.31,347.41,8.828,3055.28,normal
16.79,343,595.1,37.39,53.75,25.28,0.37,353.29,2.471,873.03,sombreado_parcial
12.91,135,1000.0,25.95,57.17,24.8,4.1,349.71,5.874,2070.03,sombreado_parcial
13.32,129,1000.0,29.92,60.02,57.62,0.95,347.47,8.654,2990.84,normal
11.99,294,884.69,23.83,51.99,31.21,2.97,355.58,3.351,1194.69,sombreado_parcial
6.36,246,51.05,26.78,28.14,20.54,7.48,383.41,0.376,138.34,suciedad
7.51,189,371.2,35.0,45.69,49.62,1.14,366.66,3.247,1179.83,normal
6.44,44,124.22,12.26,13.58,29.61,0.73,391.57,0.657,227.76,sombreado_parcial
14.91,86,925.91,27.48,55.14,31.24,0.34,354.6,7.969,2822.1,normal
10.4,44,771.81,37.81,60.71,25.38,0.42,344.35,6.583,2301.72,normal
13.12,330,879.06,26.69,52.32,34.36,0.19,18.56,5.155,95.49,falla_inversor
18.71,145,327.77,34.9,44.65,70.08,0.28,359.74,2.901,1038.46,normal
9.49,51,660.41,21.22,40.14,76.62,1.7,366.12,5.89,2186.9,normal
11.75,242,1000.0,24.81,55.81,51.68,1.16,26.37,1.681,42.4,falla_inversor
16.58,294,666.62,25.2,46.39,55.46,3.68,364.27,4.512,1691.71,suciedad
9.2,51,636.52,11.69,30.35,22.29,6.13,373.06,2.918,1077.88,sombreado_parcial
7.08,266,238.72,17.99,26.09,24.85,4.61,381.62,1.447,581.46,sombreado_parcial
10.06,120,847.53,18.42,42.86,38.03,2.27,362.2,6.935,2492.35,suciedad
8.26,200,525.41,29.93,44.68,58.07,0.32,360.18,3.478,1242.45,suciedad
19.02,248,211.78,30.23,36.68,71.77,3.71,368.43,1.95,691.15,normal
17.31,70,537.98,26.94,44.79,62.35,1.35,365.16,4.806,1745.48,normal
14.87,341,776.6,29.94,55.51,47.45,0.27,347.09,7.021,2430.69,normal
18.2,57,374.16,24.02,38.13,28.28,5.54,368.43,3.311,1225.96,normal
17.25,39,571.28,32.21,49.5,74.65,1.24,358.98,4.979,1818.4,normal
8.61,289,543.37,25.05,41.84,45.47,0.74,362.07,2.85,992.42,sombreado_parcial
18.5,18,306.71,25.35,33.38,71.52,6.15,373.1,2.675,1006.91,normal
13.55,220,1000.0,23.41,52.78,55.91,6.97,352.17,8.613,3027.16,normal
17.3,313,545.22,29.11,46.49,71.71,1.24,363.51,2.029,752.37,sombreado_parcial
18.55,244,328.33,22.47,31.57,83.51,1.31,371.18,1.449,557.81,sombreado_parcial
10.45,352,788.39,30.86,57.34,84.47,2.6,350.43,1.269,443.75,falla_panel
7.54,304,297.07,18.21,25.3,57.46,3.97,378.85,2.431,912.97,suciedad
9.19,298,603.77,18.41,38.0,55.81,0.2,19.02,3.279,60.7,falla_inversor
11.98,283,923.29,29.12,56.47,38.6,2.7,349.53,5.657,1959.73,sombreado_parcial
17.45,74,505.86,24.47,39.05,85.51,9.16,368.88,2.291,839.89,sombreado_parcial
18.05,110,425.88,22.28,36.39,52.05,0.91,369.57,1.513,560.32,falla_panel
6.1,180,26.06,30.34,30.14,28.93,7.18,372.3,0.228,78.35,suciedad
13.15,32,911.69,21.36,49.07,50.29,9.0,357.89,6.412,2299.33,suciedad
11.84,234,934.94,23.8,51.8,28.89,0.94,355.11,5.026,1780.25,sombreado_parcial
9.11,282,642.83,33.4,56.16,55.18,4.21,352.5,5.514,1957.56,normal
7.68,25,304.21,34.23,42.82,59.29,0.82,363.77,0.401,155.78,falla_panel
10.73,331,803.8,34.43,59.63,43.64,4.01,344.09,5.975,2056.96,suciedad
19.2,279,174.02,23.31,28.44,25.02,4.79,379.11,1.332,498.86,suciedad
10.52,226,941.97,32.38,62.15,86.05,0.85,347.01,8.206,2849.67,normal
13.26,57,979.7,19.31,49.0,74.13,3.77,358.27,8.774,3140.07,normal
15.84,180,872.74,19.56,46.53,78.72,5.02,360.15,7.763,2812.43,normal
11.09,232,941.18,10.9,40.9,45.68,1.33,365.67,6.989,2577.45,suciedad
19.6,343,109.89,35.04,37.18,73.26,0.55,370.77,0.41,152.77,falla_panel
19.47,287,83.37,19.82,24.06,53.98,0.29,383.65,0.675,291.47,normal
9.52,64,695.53,24.24,47.75,34.08,2.57,359.48,4.161,1480.24,sombreado_parcial
12.96,232,1000.0,19.54,51.7,28.71,11.46,355.94,8.673,3111.49,normal
10.21,289,768.06,29.17,53.28,44.15,5.19,353.56,6.415,2274.87,normal
9.99,213,845.9,22.75,44.69,29.63,1.72,366.13,7.421,2707.91,normal
6.52,258,120.31,17.17,21.57,89.88,2.31,379.21,0.936,337.74,suciedad
14.53,18,868.04,27.65,54.19,23.44,0.98,350.98,2.069,714.75,falla_panel
13.04,175,1000.0,16.4,47.28,50.88,0.53,357.27,8.867,3159.13,normal
6.72,229,178.15,19.98,22.7,51.65,1.97,386.42,0.98,328.93,sombreado_parcial
9.9,226,814.79,12.36,38.56,41.04,1.87,366.71,3.619,1346.36,sombreado_parcial
18.72,84,272.99,16.46,22.81,59.99,2.21,378.11,2.603,978.43,normal
9.35,291,651.42,26.07,46.61,30.5,9.16,31.56,2.569,80.1,falla_inversor
8.03,246,437.67,13.21,28.25,74.87,2.78,378.07,1.122,417.38,falla_panel
12.85,110,1000.0,16.11,46.66,43.27,2.79,359.52,8.935,3220.58,normal
19.8,254,39.0,24.99,28.03,61.39,0.41,376.96,0.276,93.66,sombreado_parcial
9.39,88,696.31,21.74,42.38,70.09,15.0,363.94,6.184,2241.97,normal
15.41,72,846.24,36.95,64.3,82.23,4.45,344.99,4.23,1437.67,sombreado_parcial
16.66,30,647.53,36.0,54.28,78.51,6.29,354.07,3.219,1131.27,sombreado_parcial
9.33,172,737.05,19.79,44.37,62.58,1.6,360.0,6.555,2394.01,normal
16.2,309,703.64,28.34,51.65,47.19,2.09,355.32,1.34,462.16,falla_panel
11.15,343,827.39,29.5,56.05,55.22,2.21,353.64,5.047,1792.06,sombreado_parcial
14.85,177,993.72,21.42,51.88,73.81,0.65,33.92,1.1,37.65,falla_inversor
14.87,139,992.38,16.03,44.94,81.43,3.51,359.92,8.638,3129.4,normal
13.5,194,1000.0,24.93,55.59,27.26,7.0,348.69,6.543,2278.94,suciedad
7.26,186,310.68,23.96,35.34,46.94,0.54,370.69,2.284,809.9,suciedad
17.69,218,533.46,22.39,39.25,74.33,0.27,366.07,4.826,1747.17,normal
10.49,164,915.44,27.65,53.93,50.22,4.02,352.09,7.947,2818.73,normal
8.61,161,646.82,20.5,39.02,43.26,0.96,367.14,1.243,460.0,falla_panel
6.57,13,103.1,18.09,23.19,48.79,2.93,380.37,0.598,208.41,sombreado_parcial
14.27,296,873.84,25.65,53.69,62.2,3.57,355.33,7.728,2749.3,normal
15.49,89,878.7,27.32,52.92,89.99,1.17,353.33,2.674,980.92,falla_panel
6.23,324,45.25,17.94,16.71,54.51,5.06,391.85,0.368,154.91,normal
13.17,42,932.41,30.57,58.77,34.59,2.4,349.99,8.172,2836.08,normal
9.17,210,693.41,14.38,33.27,31.4,6.1,371.99,3.668,1336.39,sombreado_parcial
15.03,229,984.17,21.53,52.05,22.96,4.32,351.74,3.62,1276.3,sombreado_parcial
8.44,350,475.92,23.45,42.0,59.12,6.09,365.17,4.189,1534.78,normal
15.67,275,818.79,21.18,44.37,58.12,0.06,362.54,3.576,1337.87,sombreado_parcial
11.41,279,914.34,21.61,49.9,34.37,0.84,354.94,6.747,2396.64,suciedad
19.11,251,206.75,36.23,44.66,68.67,0.28,359.03,1.266,464.75,sombreado_parcial
7.93,310,416.14,19.89,34.02,71.88,1.75,371.4,2.385,920.83,sombreado_parcial
10.77,208,943.7,39.65,68.91,38.14,6.62,338.75,7.768,2647.68,normal
7.59,321,290.35,27.62,36.48,44.09,1.89,369.42,2.073,789.98,suciedad
18.95,140,271.87,25.55,32.31,89.33,5.69,373.06,2.459,916.32,normal
18.28,280,374.66,27.86,39.16,46.2,1.19,29.03,2.579,72.61,falla_inversor
9.61,34,675.12,40.18,61.64,73.26,1.24,343.92,5.611,1932.42,normal
15.24,309,822.85,19.04,46.41,51.69,6.78,363.45,7.106,2577.99,normal
17.44,18,488.18,18.28,32.6,75.53,1.66,369.44,4.633,1666.09,normal
13.77,57,947.43,20.47,49.79,73.83,4.68,354.99,5.835,2105.31,sombreado_parcial
13.42,112,1000.0,25.19,55.02,66.74,0.81,349.09,8.78,3061.78,normal
9.39,5,610.75,14.65,34.07,79.83,8.92,371.83,4.055,1486.52,suciedad
7.3,182,340.46,25.13,36.95,85.75,2.56,369.45,0.875,317.51,falla_panel
18.56,13,260.07,35.16,44.23,60.6,4.27,365.24,2.267,857.77,normal
18.61,339,325.2,25.91,34.32,36.62,0.28,371.58,2.961,1064.35,normal
14.86,285,896.87,23.24,51.49,47.9,2.04,356.53,2.992,1051.81,falla_panel
10.75,259,844.54,21.29,46.67,73.08,6.94,357.24,7.402,2639.34,normal
10.89,90,900.64,30.39,60.05,65.56,6.29,343.94,7.614,2642.55,normal
16.16,104,785.53,20.05,44.35,32.45,0.14,364.23,7.081,2537.51,normal
18.56,186,356.22,36.08,44.93,23.59,1.09,362.95,3.119,1121.48,normal
18.42,250,334.96,36.6,46.74,67.81,1.76,359.83,2.985,1066.1,normal
16.92,255,646.58,26.54,47.43,37.58,0.57,356.94,3.196,1130.17,sombreado_parcial
14.99,76,893.46,24.93,53.22,54.98,3.93,358.05,7.712,2744.18,normal
7.18,108,258.62,31.18,38.5,72.27,0.61,368.83,1.731,636.46,suciedad
8.26,156,515.65,31.57,46.81,59.39,1.28,357.9,4.509,1616.0,normal
18.58,82,332.79,20.16,29.08,25.83,3.27,376.23,1.775,710.06,sombreado_parcial
14.49,77,905.81,21.84,49.56,32.99,1.97,353.76,7.903,2809.53,normal
6.13,258,38.67,17.07,16.99,35.35,4.02,387.85,0.202,40.12,falla_panel
7.42,127,352.04,27.45,39.91,38.05,9.75,364.91,1.834,684.48,sombreado_parcial
15.29,282,837.89,29.0,53.83,59.58,0.37,357.38,7.258,2599.08,normal
6.07,88,17.17,16.9,17.62,55.28,3.71,388.53,0.09,57.46,normal
8.25,204,548.15,22.27,39.48,34.22,0.79,361.19,5.13,1843.66,normal
13.68,16,886.05,16.92,46.02,24.73,1.61,363.71,7.593,2766.25,normal
15.69,151,889.1,19.61,49.03,32.0,0.1,357.98,5.265,1889.89,sombreado_parcial
15.13,254,891.23,28.31,57.2,88.91,0.44,352.49,7.309,2590.61,normal
9.14,188,733.1,20.6,44.04,52.8,1.16,33.55,2.378,79.08,falla_inversor
15.97,329,740.22,23.2,44.75,80.71,1.26,361.54,6.595,2357.62,normal
9.32,32,600.43,15.24,32.4,79.41,6.9,371.3,3.991,1513.42,suciedad
10.56,271,860.98,26.12,51.76,55.81,4.06,355.89,7.28,2596.25,normal
16.45,5,662.53,24.73,46.57,69.47,10.75,361.69,5.584,2022.54,normal
15.09,330,840.8,20.63,47.01,33.49,2.74,29.64,0.654,20.52,falla_inversor
17.89,308,431.68,23.87,38.66,68.19,0.83,365.38,3.537,1271.23,suciedad
15.21,333,796.57,26.08,52.48,39.07,1.19,351.43,4.86,1687.57,sombreado_parcial
13.96,169,1000.0,20.11,50.27,78.24,1.16,359.56,3.718,1332.71,sombreado_parcial
7.31,181,332.63,16.14,26.59,25.86,1.19,12.16,2.797,34.42,falla_inversor
11.15,178,1000.0,35.83,67.06,74.12,3.35,339.32,5.827,1957.61,sombreado_parcial
9.71,143,824.66,21.2,46.48,27.0,2.27,361.75,7.013,2542.36,normal
9.42,362,628.04,24.42,43.24,81.68,1.46,359.93,5.684,2028.39,normal
19.62,248,63.3,31.07,34.82,41.29,0.48,371.28,0.44,117.93,sombreado_parcial
11.5,127,1000.0,45.0,76.33,65.81,0.07,333.11,5.217,1737.9,sombreado_parcial
18.49,263,303.68,17.53,27.04,54.13,0.74,376.98,2.198,825.77,suciedad
14.84,40,853.8,27.7,53.18,45.64,0.34,353.22,7.156,2539.91,normal
17.13,355,559.34,20.75,39.25,65.18,4.62,367.47,0.949,330.07,falla_panel
13.04,255,1000.0,21.77,51.51,86.33,0.36,357.12,5.333,1900.65,sombreado_parcial
14.08,143,1000.0,20.68,52.61,22.89,3.86,350.72,4.394,1563.12,sombreado_parcial
12.9,240,1000.0,18.25,50.22,84.32,1.46,355.7,8.813,3147.35,normal
8.73,228,599.78,24.75,42.88,62.64,0.23,34.24,0.471,12.77,falla_inversor
16.11,341,692.61,16.15,38.27,76.51,5.03,368.48,3.374,1247.64,sombreado_parcial
9.93,198,850.66,30.68,57.54,46.87,2.6,348.47,4.143,1462.87,sombreado_parcial
6.34,65,77.15,25.33,27.68,53.03,0.81,379.08,0.146,51.97,falla_panel
15.04,11,817.15,27.53,53.09,80.82,6.75,350.63,1.142,409.77,falla_panel
8.48,108,537.24,22.2,39.08,49.04,0.14,365.67,4.814,1763.86,normal
19.17,26,162.4,22.8,28.07,57.43,0.68,381.09,0.54,195.57,falla_panel
19.36,151,202.96,26.73,33.16,21.41,4.18,371.84,1.702,626.6,suciedad
18.81,221,306.17,18.02,25.93,31.1,3.71,381.28,2.806,1069.09,normal
11.18,341,798.88,22.85,47.59,64.92,1.02,356.43,6.965,2493.59,normal
6.22,237,3.26,19.84,20.34,70.19,0.19,381.45,0.0,12.83,normal
19.0,237,234.31,19.66,27.12,60.78,5.86,380.79,1.005,346.21,sombreado_parcial
11.99,219,1000.0,12.34,45.02,30.03,1.13,362.59,6.597,2358.22,suciedad
19.53,151,103.99,33.04,37.22,51.18,0.65,367.56,0.936,343.51,normal
19.49,123,142.17,20.88,24.02,44.86,2.18,384.2,1.006,370.48,suciedad
17.94,144,486.48,31.98,46.93,54.7,7.23,357.92,3.27,1171.07,suciedad
10.12,189,871.55,31.41,58.18,80.92,0.13,346.76,3.547,1243.53,sombreado_parcial
11.39,255,962.72,17.28,47.36,74.31,4.35,358.79,1.707,611.0,falla_panel
17.92,68,430.92,18.47,31.93,25.88,2.55,372.87,2.946,1096.04,suciedad
10.44,104,867.06,40.36,68.38,82.32,1.66,336.47,7.344,2446.14,normal
8.37,336,472.66,35.51,50.54,53.02,4.09,355.5,3.538,1256.24,suciedad
13.8,159,1000.0,24.81,57.91,72.07,10.13,9.83,3.925,37.74,falla_inversor
19.11,309,223.11,26.54,33.88,29.8,0.78,373.23,1.96,734.58,normal
15.74,362,749.35,21.21,43.39,66.95,0.47,5.99,1.052,6.47,falla_inversor
13.98,300,929.74,27.59,55.95,36.54,7.32,353.05,8.17,2857.98,normal
7.36,90,304.73,20.7,31.13,50.69,3.32,372.06,1.935,693.97,sombreado_parcial
14.61,357,859.53,12.81,37.25,21.18,1.73,373.81,5.588,2087.38,suciedad
19.86,256,25.14,17.07,15.84,30.61,2.55,388.81,0.195,69.0,suciedad
7.96,353,389.07,25.13,37.3,26.45,4.11,368.98,3.028,1111.93,suciedad
13.26,220,1000.0,18.21,50.89,36.78,4.45,354.05,5.193,1834.8,sombreado_parcial
18.28,9,361.26,24.6,37.85,27.0,7.57,367.78,2.15,797.65,sombreado_parcial
16.37,12,666.14,18.55,39.04,68.43,1.67,366.61,4.07,1448.3,sombreado_parcial
15.76,325,782.47,20.31,46.35,22.03,1.04,361.08,6.779,2454.91,normal
15.83,244,877.44,30.12,57.65,63.24,3.06,350.8,4.04,1407.4,sombreado_parcial
11.03,182,1000.0,26.48,55.44,29.85,1.61,350.33,7.513,2628.77,suciedad
10.11,284,769.56,24.94,48.98,86.16,2.71,359.6,6.654,2438.0,normal
17.33,312,502.39,30.27,45.05,85.32,1.63,359.87,2.934,1053.71,sombreado_parcial
17.34,99,597.93,27.88,47.95,35.79,0.5,360.43,5.029,1817.76,normal
18.14,197,446.42,33.68,47.59,63.01,1.9,357.22,1.887,684.05,sombreado_parcial
18.79,226,295.78,22.24,29.57,21.96,3.52,373.39,2.657,1011.54,normal
13.16,333,940.33,22.42,49.56,85.23,4.82,356.07,8.412,2963.31,normal
13.02,103,1000.0,17.19,48.41,56.61,2.04,357.27,8.731,3139.34,normal
17.18,106,599.25,22.43,37.52,23.03,0.54,366.13,5.347,1961.36,normal
15.1,365,798.89,30.79,54.98,43.97,1.61,350.76,6.875,2420.52,normal
15.83,58,792.02,32.8,57.9,25.38,4.63,347.66,6.981,2445.5,normal
17.14,78,607.46,30.76,48.16,47.51,1.6,358.0,5.565,1978.57,normal
18.46,75,317.9,14.23,25.66,66.89,3.58,380.47,2.969,1121.19,normal
10.73,42,835.25,31.5,59.39,52.89,2.12,347.17,2.085,732.42,falla_panel
11.26,324,819.96,13.97,38.07,46.86,0.83,365.72,7.282,2680.09,normal
7.32,181,302.92,30.39,39.41,28.34,4.77,365.58,0.448,154.23,falla_panel
14.1,33,897.42,22.79,52.33,37.15,0.26,356.02,5.739,2035.44,suciedad
6.5,71,99.87,29.22,32.33,27.01,2.23,371.71,0.86,322.39,normal
12.52,56,972.05,17.01,45.29,76.52,0.7,358.8,8.948,3184.71,normal
13.6,105,1000.0,32.03,63.06,29.47,0.21,30.01,1.502,42.73,falla_inversor
10.01,200,887.7,16.21,42.67,61.68,2.1,361.84,3.45,1257.42,sombreado_parcial
14.27,101,988.55,20.99,53.54,43.99,2.08,354.53,8.57,3001.27,normal
6.43,256,94.3,19.01,22.87,35.82,3.68,380.56,0.799,309.16,normal
6.52,307,133.16,14.47,18.16,64.76,4.1,386.42,1.18,461.21,normal
17.52,74,521.64,25.57,42.08,51.99,3.9,362.79,3.888,1397.65,suciedad
11.04,171,1000.0,35.84,65.12,48.01,1.58,340.78,2.193,741.52,falla_panel
7.78,143,433.83,41.0,53.43,61.5,3.0,355.62,3.823,1358.88,normal
13.31,166,1000.0,25.58,59.16,54.39,2.58,347.25,8.619,3026.02,normal
16.78,261,686.59,31.7,53.24,41.24,1.64,350.67,6.053,2150.66,normal
9.02,221,686.6,26.39,49.24,59.13,2.73,4.93,11.171,55.4,falla_inversor
14.72,83,950.2,27.99,58.04,66.86,8.83,346.5,5.056,1751.79,sombreado_parcial
7.19,182,252.75,22.95,32.82,21.87,0.64,370.23,0.423,166.09,falla_panel
6.72,307,137.18,26.17,27.46,52.61,7.09,379.39,1.239,477.06,normal
13.44,10,890.45,28.22,55.77,24.04,0.16,350.35,6.193,2174.89,suciedad
13.57,4,879.25,21.53,51.47,33.05,1.11,354.98,7.647,2697.1,normal
14.92,351,852.35,24.54,52.61,59.24,1.02,353.27,1.317,451.52,falla_panel
16.17,336,685.63,24.65,48.06,80.63,2.95,357.69,5.869,2106.56,normal
19.66,292,71.37,29.96,32.18,81.8,0.42,375.06,0.52,200.74,suciedad
13.23,281,978.46,18.6,48.38,24.9,6.42,359.83,8.543,3089.54,normal
10.52,215,922.61,24.69,51.98,49.34,5.29,357.95,4.062,1459.83,sombreado_parcial
17.13,98,551.55,36.47,52.06,60.81,3.17,352.53,5.105,1776.95,normal
9.79,101,765.5,31.98,57.12,30.29,1.84,348.71,6.703,2321.28,normal
12.15,9,861.16,33.1,60.78,73.58,8.11,346.4,7.552,2609.33,normal
7.1,61,244.16,25.15,32.68,72.1,5.33,375.85,1.187,466.18,sombreado_parcial
6.35,309,68.07,26.93,29.82,83.23,2.08,374.04,0.663,249.13,normal
19.48,146,128.0,31.01,35.23,20.59,3.63,372.18,1.176,444.8,normal
17.7,63,437.0,34.36,49.46,35.17,2.51,355.54,3.873,1379.9,normal
